2002,44531
2003,122361
2004,441092
2005,1377581
2006,4135405
2007,5245066
2008,4926268
2009,3803485
2010,3483492
2011,3214390
2012,3221316
2013,2634690
2014,2572290
2015,2472620
2016,2387062
2017,2235515
2018,2401292
2019,2050905
