Marek69,183120,5
JackofOz,179142,5
Piotrus,169396,5
Kerry Raymond,165794,5
Cplakidas,165708,5
Fram,163794,5
JarrahTree,160991,5
Clarityfiend,157745,5
Pvmoutside,157175,5
Funandtrvl,151773,5
Nick Number,150659,5
Bovineboy2008,149178,5
Ahunt,146150,5
In ictu oculi,144922,5
BilCat,139058,5
Rikster2,138542,5
Andy Dingley,137955,5
Rjensen,135162,5
Chiswick Chap,133511,5
