89,315,918,2334,4633,6289,7436,7932,7939,7541,7108,6755,6358,6191,6055,5916,5748,5488
807,2529,11515,42475,129443,154340,133442,114882,98645,90394,77458,68721,63733,61325,64468,67852,67732,66821
7,25,53,269,1107,1670,1992,1873,1774,1807,1535,1333,1447,1614,1467,1384,1650,1377
2141,6549,25129,101654,263194,300869,272186,230954,186424,144625,117711,100871,85584,74518,64447,56982,53254,50938
1,3,16,51,137,122,126,94,235,383,394,337,376,398,190,275,195,194
2,3,14,43,105,156,141,147,106,96,88,69,61,59,62,62,68,56
