63957,65349,65509,68044,63873,68798,66366,64266,62010,68115,61477,64395,65080,60905,62795,62504,62644,67581,57706,60324,61367,75260,71715,65375,58865,63566,60764,61575,67084,75525,65720,61349,59559,63224,62131,65517,60760,60549,61601,59422,62158,59015,62410,59583,59609,63412,60568,59612,60748,56560,60145,57781,59224,57735,61609,63053,76916,67372,65675,70664,66080,65150,65347,63144,66015,65923,63711,64427,67058,63486,62256,65500,70365,72603,71358,73113,79759,69612,69100,73109,68595,70215,67828,65029,65402,64419,62584,65999,67641,66580,63019,62915,63184,58974,62182,62378,61672,63894,60604,63352,63441,64221,60274,63771,62521,62955,64103,65995,63021,63698,61914,59335,65938,61528,61786,61896,63839,59889,63008,65010,65715,66162,63958,67972,62355,63296,65854,70193,69334,68126,65929,62566,70826,61109,62658,68672,66589,72134,61084,62630,72391,63075,59207,70067,75837,61958,59357,60893,61267,62159,62069,65635,62386,59306,65678,64507,57508,61793,61423,59839,61210,65145,64075,64514,63944,66277,64665,62606,63554,63018,61080,62976,65388,61914,59173,60985,62872,59667,60305,60000,60921,64502,59576,60933,61115,59454,67504,67196,64922,65423,65638,59702,60434,57428,60163,59991,64823,64436,63664,58335,60607,65274,64238,64562,60630,61850,61544,64742,65879,63730,69636,67577,66567,63757,63584,64720,63257,65321,75260,71197,73834,73651,69115,70129,75783,80928,72504,72892,75376,73083,64021,65907,75097,75012,67957,72430,67189,65720,73070,74464,76311,72095,65215,71447,71340,61890,61996,66897,66623,65314,65953,66726,66939,63190,64193,64995,71370,59997,60212,63163,62883,60558,67446,67532,62230,63829,60507,59803,60677,57922,62026,60589,66200,62551,57634,67772,66822,66468,60873,61089,63489,60344,64505,63189,61986,66516,63187,62675,57816,63058,74514,58275,63092,59428,61830,64625,63487,63216,64869,70539,74310,59102,63397,59693,60847,61616,57771,56050,57928,55059,54764,56466,58802,68945,65734,64951,60335,65963,58946,53870,55799,58583,55852,59003,57466,57507,65338,61609,62126,64768,62115,60926,63379,59773,74732,61067,66227,73724,75598,62578,62544,64229,62761,61597,73869,74007,65860,66017,70109,65364,67947,69839,66639,77089,68971,60608,59832,58910,55221,66204,69380,70064,79181,84133,69563
39005,47880,49436,48272,50933,49032,51921,52746,48291,48786,48148,48167,47936,45325,46392,47493,47018,44539,47377,46723,46572,47159,47214,49748,49634,49362,48803,48333,48144,48792,50139,52419,49822,49245,46276,48602,48924,48617,50661,49198,47922,46156,48098,46394,48210,49489,48043,49132,48869,48501,49226,48884,47242,47236,47563,48843,48857,48280,47847,49631,50038,49741,48770,48481,50214,50705,50835,51357,51302,48915,51181,50526,52138,50025,49434,50837,50048,50782,51156,48467,49870,50567,50488,49887,49433,48506,48380,50877,49648,48309,48120,48743,48934,49315,46877,49020,54285,49257,46944,48931,48231,49852,49142,47511,48897,48530,51785,51099,48742,49995,49845,48955,48734,55746,51580,51721,51538,50194,50240,50142,48167,48756,48190,50985,49537,49000,51111,48492,49344,47355,46598,47233,46179,47850,50103,51360,49248,47894,48871,48837,49472,53470,51385,55290,47416,49929,50346,52609,58530,66557,49207,46683,47093,49133,48516,50050,48100,45808,44267,44101,44454,46546,47856,49278,51766,50623,47676,45277,46341,50979,47779,47487,46210,45760,45139,46444,45996,43300,46695,46136,46387,47281,43564,43862,45714,43886,47814,45623,45205,45075,48864,44806,44298,44166,42531,42632,43881,45527,45639,44576,43787,42576,43399,44415,46739,48401,47298,46310,45266,45038,45059,47766,46500,46028,45069,43669,43511,47681,46378,46350,47124,51296,47831,45640,46318,49435,48930,47165,48565,47826,47561,49038,47991,49414,50756,49387,49354,50100,49275,50183,51279,50350,50082,46821,46221,46120,49600,47879,46076,46840,46359,47665,45371,43978,44082,44816,46049,45094,45870,45136,44870,44392,44631,45354,45442,44892,46049,42970,44345,45895,44372,44211,43276,43000,43416,44029,43231,44813,43469,43283,41718,43814,45966,45699,47428,45211,44756,46012,47654,46848,46331,45247,44217,43539,44198,46620,47121,44951,45762,44761,44644,47058,44792,44647,41812,44585,43016,42826,45238,43680,45874,44967,45881,43821,45739,45954,46877,46222,45904,46136,44344,44386,43437,42427,44205,41386,41868,40726,43753,42378,43227,44133,45082,45499,45028,43218,44456,46445,46262,46400,47512,46861,46376,45738,45062,48714,47310,48470,45577,45321,44130,45755,44781,45322,45232,42196,55085,35049,28747,35043,41965,44358,43315,46691,44805
2548,2580,2058,2473,2863,2898,2856,2888,1890,1869,2125,1824,2243,2429,2175,2487,1833,2327,2219,1789,1982,2623,2015,2304,2144,2103,2064,2104,2228,2385,2094,2317,2639,2856,2358,2209,2226,2018,2740,2094,1763,2048,2054,2132,2021,1985,2149,2081,2831,2625,2265,2704,2400,2161,2028,2175,2341,2145,1817,1877,1985,2664,2823,3054,3154,2601,2355,2154,3956,2281,2590,2932,2675,3193,2754,1833,2297,3295,1829,1936,2011,1902,1728,1905,1831,1872,1908,1909,1976,1994,2022,1873,2193,2406,2344,1613,1870,2189,1776,2262,1679,1626,1806,1663,1887,1907,1975,1938,2178,1969,2152,2032,2325,2259,2500,2430,2034,1725,1484,1870,2038,1772,2031,1748,1642,2284,1768,1972,1958,1773,1570,1512,1691,2055,1705,1784,1997,1503,1978,1639,1712,1962,1724,2167,2129,1777,1864,1756,1878,2101,2524,2448,2370,2046,2017,2052,1709,1981,1955,1881,1913,1906,2150,2111,2345,2476,2508,2293,2408,2173,2998,2148,2636,2370,2038,2268,2106,2425,2636,3333,2707,3101,3023,3236,3108,2456,1707,2397,2339,2049,2528,1983,1902,2206,2092,2313,2533,2016,2254,1854,2035,2256,1935,2664,1988,2032,2291,2265,2103,2058,2172,2136,1868,2181,2690,2076,2130,1922,2002,2767,2327,2428,3025,2910,2331,4017,3407,4461,3249,1974,1795,2766,4514,3402,2291,2514,2683,1609,1788,3085,3148,2091,2010,2978,2065,3907,2512,3650,3730,2407,5376,2884,3512,2546,2843,4961,9315,6776,4330,3627,6036,2820,4432,4440,3851,3221,3568,3096,4838,2056,1759,4302,4841,3471,4845,3059,2845,1945,1891,2205,1516,3248,1671,1909,3462,2663,3412,2859,2205,2053,1720,1567,1503,1866,1418,1724,1734,1746,1802,1926,1895,1671,1838,1750,1685,1834,1972,2106,1739,1636,1886,1836,1699,1656,1965,1854,1884,1812,1860,2037,1728,1965,1742,1943,2066,1880,1647,1585,1736,1706,1810,1937,1953,1823,1859,1886,1795,1693,1826,1940,2120,1971,2161,1763,1873,1681,1743,1828,1918,1847,2664,2063,2126,1774,1725,1982,1902,1593,1476,1690,1993,2210,2683,2321,1860
10529,12885,13225,13050,13858,13973,13982,14581,13871,13688,14592,14346,14304,14172,14100,14021,15006,13376,14538,14257,14126,14651,15106,15371,15132,14762,15478,15549,15578,15330,15130,15965,15659,15131,15506,15217,16075,15836,15845,15330,15421,15623,15706,14591,14986,15324,15485,14610,14898,15127,14781,14990,14704,14987,14527,14619,14530,14970,13928,14131,14433,14251,14739,14720,14819,14396,14583,14940,14783,14342,14739,14691,14999,14894,14276,14229,14572,14265,14625,14479,14885,14896,14660,14615,15156,14958,14973,15049,14829,14483,14322,14311,14963,14639,14904,14750,14379,14210,14111,14050,14796,15469,14556,14015,14363,14369,14649,14735,14624,15091,14644,14654,15055,14920,15266,15035,14582,14579,14294,14418,14715,15102,14387,13932,14295,13812,14087,14494,14288,14183,14017,13717,13772,13879,14695,14516,14121,13562,13865,12959,14744,14200,14654,14215,13782,13754,13469,13539,13752,14423,14724,13926,13748,14106,14519,13769,14257,13615,13606,13255,12957,13294,13786,13986,13895,13252,13544,13299,13293,14203,13725,14032,13322,13083,12860,13145,13449,12729,13419,13649,12552,12736,12445,12616,12714,12917,12882,13083,13030,13010,12605,13198,12690,12894,13131,12629,12680,13155,12820,13015,13203,13607,13344,13635,13839,14304,13912,13044,12797,12991,12986,13127,13485,13376,12939,12679,13336,13675,13511,13076,13554,13232,13187,13039,13329,13976,13687,14104,13594,12786,12610,13245,13242,14085,13856,13964,13728,13330,13058,14148,14221,13618,13773,12988,12772,12749,13299,13289,13344,13621,13034,13371,13418,13231,13199,13245,13114,13005,12795,13283,13520,13505,13583,13192,13286,13167,13605,13504,13950,13449,13230,13640,13298,13456,13520,13837,13580,13255,13224,12967,12881,13595,13740,14180,14180,13295,13340,13675,14540,14321,14321,14073,13560,13973,14094,14541,14469,14427,13901,13949,14136,14006,14237,13966,13716,13785,13481,13612,14057,14322,14029,13720,14728,13611,13216,14018,14051,14478,14068,13401,13637,13280,13216,13542,13415,13011,12665,12499,12511,12985,13859,14233,14471,14796,14612,13945,14113,15265,15151,14814,14478,13642,13571,13336,13981,14273,13989,13656,14100,13560,13291,13341,12991,13081,12482,12290,11304,10166,8535,9452,11473,11654,12151,12437,11974
9,16,31,14,22,26,25,22,19,14,26,13,22,7,10,10,13,13,36,10,23,26,24,53,16,12,21,9,10,15,9,16,16,19,18,23,17,30,21,44,24,39,37,37,77,81,33,28,17,23,16,36,21,16,18,18,17,12,8,8,11,18,16,20,24,22,14,8,21,19,14,16,25,23,18,13,51,29,26,14,19,10,19,36,21,12,17,17,15,8,16,22,14,20,8,18,16,20,18,12,20,24,13,18,23,20,22,23,34,60,26,11,24,38,14,31,11,14,27,31,18,23,26,32,37,40,37,11,16,23,31,29,8,19,19,18,21,14,10,19,13,8,10,18,25,7,19,12,22,18,24,23,9,22,28,23,38,18,12,17,15,32,19,22,18,17,16,12,18,18,28,14,8,55,19,152,14,16,43,30,22,31,31,28,10,22,33,8,24,52,21,13,27,14,31,22,11,9,11,23,24,16,15,18,26,13,33,18,15,33,23,24,56,12,17,24,14,9,8,15,13,25,13,8,16,17,17,16,23,31,14,17,25,7,14,34,12,42,12,17,15,11,57,9,40,40,20,22,30,25,11,16,14,34,27,44,29,32,29,15,23,29,11,8,27,37,49,12,8,31,9,16,20,10,14,18,21,19,17,18,11,33,30,17,20,19,27,26,17,20,30,26,21,10,14,40,56,10,24,22,14,27,8,18,39,22,8,13,11,26,19,13,44,19,9,12,19,9,18,21,8,29,13,14,14,20,28,18,18,13,16,33,43,75,27,42,24,42,26,42,29,34,28,12,29,16,11,13,10,8,17,18,16,8,19,10,18,13,9,18,22,32,32,11,6
27737,38452,26122,25545,23395,35802,27072,26038,31148,33968,39202,36667,37858,29341,32810,66553,43768,34493,25149,25199,33959,28248,21234,29600,18271,24223,23353,33241,30026,21398,26961,24322,24265,16630,24947,24111,22497,22726,22204,27892,20279,25186,37152,48302,38267,25251,20583,20731,18229,21053,27524,22569,21815,26865,31881,26128,28915,24402,23700,29900,28915,35754,23599,20861,23393,31120,33295,36778,33723,25350,28251,18182,26776,33942,22299,42999,35519,34202,27314,38175,32384,29019,30817,27536,22024,31416,40753,33965,38540,30614,28040,29215,28151,41512,34694,49592,40239,24686,41407,32040,36293,37663,37126,39917,39947,42137,40573,47686,44856,34440,58195,35467,34809,28923,29301,27325,49077,27205,30305,33962,45156,44252,27570,32441,48466,38309,32664,36253,32210,24790,37412,32115,32097,30917,22037,27235,19754,21617,25101,34645,26413,35411,25665,30601,31878,40025,36230,27764,20272,20799,35669,49018,35095,38772,29269,40140,44592,36170,44360,39231,28777,26794,16554,25693,19550,34510,42061,38480,42446,33225,18761,29155,30160,47630,27037,23297,24220,39899,25010,25792,18513,17494,18639,26162,27485,37266,28183,25111,26006,17318,29055,28748,27814,23377,24337,24056,29091,25227,25047,29565,27450,44596,48743,26924,37580,29343,28421,24553,30178,37463,44888,38010,30186,18726,25727,30790,26955,27994,19624,26179,34712,26722,22475,28113,34334,34860,33676,21961,22349,23036,18077,20555,17806,23572,30368,28486,19836,26990,21747,17146,21630,17651,18995,19914,20527,18969,25730,18660,24585,29670,23243,26705,28475,31801,28645,39007,46161,113460,129163,105350,127767,42778,26958,54340,30289,17328,16471,16548,19881,21854,43337,24643,29429,32485,20931,25884,29295,29866,41364,50388,25879,32644,17937,24139,46073,22434,24857,21841,22658,22101,21630,15028,16250,43894,24071,21496,16728,15580,20550,18078,28528,21217,22510,22698,17421,17935,22152,16978,24135,18515,27714,26931,33613,30415,30535,20727,20060,23158,20343,23052,25282,25592,29928,34596,39432,43635,28031,32202,27100,39415,38685,31031,43417,33363,32986,25550,26904,31097,30074,32874,51761,26898,28137,28260,31063,19954,25021,22466,38912,20677,25022,21783,27844,23463,25046,30702,31299,30011,25986,29479,23831,23997,22051,36856,38014
