2002,44531
2003,122361
2004,441092
2005,1377581
2006,4115364
2007,5097266
2008,4840390
2009,3803485
2010,3483492
2011,3214279
2012,3219745
2013,2634690
2014,2572290
2015,2472620
2016,2312184
2017,2221365
2018,2401292
2019,2050905
