2001,3,3
2001,6,5
2001,7,13
2001,8,61
2001,9,55
2001,10,99
2001,11,304
2001,12,717
2002,1,325
2002,2,216
2002,3,720
2002,4,592
2002,5,255
2002,6,572
2002,7,885
2002,8,1582
2002,9,1637
2002,10,1664
2002,11,1615
2002,12,1563
2003,1,2319
2003,2,2230
2003,3,2289
2003,4,2194
2003,5,3006
2003,6,2921
2003,7,3579
2003,8,3821
2003,9,3532
2003,10,3381
2003,11,5275
2003,12,4965
2004,1,4426
2004,2,6673
2004,3,8456
2004,4,8258
2004,5,8377
2004,6,7569
2004,7,9111
2004,8,10386
2004,9,11182
2004,10,12379
2004,11,13758
2004,12,15072
2005,1,13297
2005,2,13425
2005,3,18112
2005,4,20879
2005,5,20196
2005,6,23772
2005,7,27255
2005,8,30075
2005,9,29396
2005,10,32593
2005,11,35969
2005,12,48784
2006,1,56170
2006,2,55943
2006,3,63985
2006,4,63501
2006,5,75798
2006,6,84434
2006,7,96571
2006,8,102729
2006,9,91134
2006,10,103914
2006,11,95156
2006,12,116500
2007,1,131481
2007,2,120159
2007,3,159213
2007,4,137559
2007,5,166134
2007,6,169158
2007,7,166643
2007,8,178132
2007,9,144084
2007,10,153088
2007,11,148786
2007,12,169030
2008,1,174901
2008,2,171232
2008,3,203329
2008,4,207364
2008,5,194153
2008,6,214096
2008,7,194854
2008,8,207108
2008,9,189984
2008,10,157423
2008,11,146756
2008,12,172138
2009,1,174686
2009,2,157777
2009,3,220538
2009,4,178034
2009,5,184017
2009,6,169832
2009,7,165866
2009,8,171842
2009,9,171825
2009,10,123314
2009,11,105002
2009,12,109582
2010,1,158579
2010,2,140031
2010,3,171988
2010,4,164439
2010,5,162515
2010,6,153220
2010,7,181801
2010,8,185107
2010,9,171044
2010,10,207550
2010,11,163259
2010,12,163609
2011,1,172667
2011,2,172469
2011,3,156716
2011,4,128298
2011,5,127698
2011,6,139099
2011,7,159176
2011,8,168542
2011,9,150928
2011,10,159802
2011,11,138717
2011,12,139720
2012,1,146367
2012,2,136713
2012,3,161879
2012,4,176290
2012,5,241804
2012,6,142564
2012,7,138338
2012,8,155274
2012,9,160403
2012,10,151308
2012,11,123289
2012,12,126672
2013,1,125637
2013,2,116842
2013,3,130053
2013,4,115501
2013,5,117000
2013,6,122537
2013,7,165970
2013,8,129529
2013,9,110372
2013,10,100063
2013,11,117466
2013,12,233836
2014,1,104509
2014,2,124272
2014,3,144156
2014,4,139137
2014,5,176631
2014,6,158169
2014,7,133373
2014,8,167332
2014,9,135979
2014,10,145114
2014,11,112263
2014,12,102212
2015,1,150234
2015,2,110893
2015,3,109328
2015,4,114763
2015,5,145039
2015,6,121036
2015,7,96114
2015,8,125404
2015,9,107062
2015,10,143895
2015,11,183639
2015,12,135532
2016,1,157030
2016,2,99507
2016,3,113440
2016,4,106945
2016,5,107280
2016,6,106407
2016,7,79623
2016,8,122763
2016,9,69492
2016,10,118744
2016,11,126478
2016,12,230400
2017,1,147074
2017,2,105102
2017,3,110344
2017,4,106645
2017,5,105810
2017,6,82949
2017,7,123199
2017,8,173098
2017,9,134718
2017,10,111033
2017,11,82743
2017,12,106249
2018,1,121919
2018,2,110035
2018,3,164179
2018,4,116131
2018,5,87382
2018,6,101013
2018,7,117632
2018,8,148193
2018,9,122665
2018,10,124286
2018,11,106384
2018,12,138001
2019,1,100466
2019,2,67841
2019,3,82942
2019,4,87073
2019,5,101290
2019,6,70535
2019,7,97054
2019,8,109495
2019,9,112905
2019,10,121552
2019,11,96836
2019,12,97715
2020,1,66427
2020,2,30024
2020,3,74846
2020,4,4760
