2001,1,3
2001,2,17
2001,3,82
2001,4,34
2001,5,56
2001,6,96
2001,7,207
2001,8,506
2001,9,673
2001,10,952
2001,11,1641
2001,12,3424
2002,1,2029
2002,2,4400
2002,3,2837
2002,4,2202
2002,5,1190
2002,6,2705
2002,7,2785
2002,8,5085
2002,9,5398
2002,10,7045
2002,11,5360
2002,12,6467
2003,1,9573
2003,2,7495
2003,3,7163
2003,4,7434
2003,5,8924
2003,6,8648
2003,7,14181
2003,8,11451
2003,9,10429
2003,10,11375
2003,11,14916
2003,12,14734
2004,1,14700
2004,2,21295
2004,3,30359
2004,4,28543
2004,5,27286
2004,6,30106
2004,7,35354
2004,8,37332
2004,9,43625
2004,10,48746
2004,11,59267
2004,12,65840
2005,1,53121
2005,2,53351
2005,3,67506
2005,4,86340
2005,5,87843
2005,6,106985
2005,7,127492
2005,8,140343
2005,9,128508
2005,10,147612
2005,11,157416
2005,12,222600
2006,1,268474
2006,2,274006
2006,3,299287
2006,4,299672
2006,5,342317
2006,6,355375
2006,7,376376
2006,8,588127
2006,9,408008
2006,10,410729
2006,11,388455
2006,12,414802
2007,1,493313
2007,2,468312
2007,3,613520
2007,4,632108
2007,5,499604
2007,6,530935
2007,7,501390
2007,8,522368
2007,9,473025
2007,10,472937
2007,11,444107
2007,12,420929
2008,1,561914
2008,2,470740
2008,3,519793
2008,4,486115
2008,5,514597
2008,6,545186
2008,7,488454
2008,8,470927
2008,9,513807
2008,10,397065
2008,11,446960
2008,12,396238
2009,1,453980
2009,2,396175
2009,3,670703
2009,4,510216
2009,5,588601
2009,6,486465
2009,7,434364
2009,8,388905
2009,9,394129
2009,10,375892
2009,11,256719
2009,12,340876
2010,1,394711
2010,2,310631
2010,3,447612
2010,4,534632
2010,5,409431
2010,6,393560
2010,7,389865
2010,8,366863
2010,9,327479
2010,10,384475
2010,11,435644
2010,12,322749
2011,1,374875
2011,2,342461
2011,3,308705
2011,4,272119
2011,5,287781
2011,6,352132
2011,7,322210
2011,8,351900
2011,9,304107
2011,10,316833
2011,11,293356
2011,12,351286
2012,1,311548
2012,2,320809
2012,3,316453
2012,4,332892
2012,5,403924
2012,6,280491
2012,7,368781
2012,8,302844
2012,9,765123
2012,10,312466
2012,11,249130
2012,12,262425
2013,1,264543
2013,2,254799
2013,3,256269
2013,4,269335
2013,5,277133
2013,6,307450
2013,7,325771
2013,8,265643
2013,9,255503
2013,10,231030
2013,11,218764
2013,12,354168
2014,1,207655
2014,2,220199
2014,3,250103
2014,4,245329
2014,5,305945
2014,6,254438
2014,7,264117
2014,8,290935
2014,9,264373
2014,10,272562
2014,11,203164
2014,12,235748
2015,1,261924
2015,2,224339
2015,3,215233
2015,4,249565
2015,5,247494
2015,6,216077
2015,7,191460
2015,8,237695
2015,9,194464
2015,10,251639
2015,11,294373
2015,12,240599
2016,1,327625
2016,2,284888
2016,3,317228
2016,4,350391
2016,5,258323
2016,6,237373
2016,7,216553
2016,8,213719
2016,9,161886
2016,10,303426
2016,11,309331
2016,12,388257
2017,1,284851
2017,2,208527
2017,3,217989
2017,4,256837
2017,5,380438
2017,6,269522
2017,7,287332
2017,8,307785
2017,9,331427
2017,10,249699
2017,11,233883
2017,12,318911
2018,1,336674
2018,2,225061
2018,3,273741
2018,4,234254
2018,5,202842
2018,6,199406
2018,7,210126
2018,8,246535
2018,9,210450
2018,10,234859
2018,11,212071
2018,12,280434
2019,1,212219
2019,2,173290
2019,3,173783
2019,4,178009
2019,5,197800
2019,6,152666
2019,7,185645
2019,8,202173
2019,9,211559
2019,10,234286
2019,11,224634
2019,12,194539
2020,1,134498
2020,2,74518
2020,3,130699
2020,4,7499
