2001,3,3
2001,6,5
2001,7,13
2001,8,61
2001,9,55
2001,10,99
2001,11,304
2001,12,717
2002,1,325
2002,2,216
2002,3,720
2002,4,592
2002,5,255
2002,6,572
2002,7,885
2002,8,1582
2002,9,1637
2002,10,1664
2002,11,1615
2002,12,1563
2003,1,2319
2003,2,2230
2003,3,2289
2003,4,2194
2003,5,3006
2003,6,2921
2003,7,3579
2003,8,3821
2003,9,3532
2003,10,3381
2003,11,5275
2003,12,4965
2004,1,4426
2004,2,6673
2004,3,8456
2004,4,8258
2004,5,8377
2004,6,7569
2004,7,9111
2004,8,10386
2004,9,11182
2004,10,12379
2004,11,13758
2004,12,15072
2005,1,13297
2005,2,13425
2005,3,18112
2005,4,20879
2005,5,20196
2005,6,23772
2005,7,27255
2005,8,30075
2005,9,29396
2005,10,32593
2005,11,35969
2005,12,48784
2006,1,56170
2006,2,55943
2006,3,63985
2006,4,63831
2006,5,75923
2006,6,85047
2006,7,96759
2006,8,102780
2006,9,91140
2006,10,103921
2006,11,95161
2006,12,116507
2007,1,131515
2007,2,120168
2007,3,159216
2007,4,137597
2007,5,166205
2007,6,169160
2007,7,166644
2007,8,178133
2007,9,144090
2007,10,153142
2007,11,148804
2007,12,169302
2008,1,174967
2008,2,171239
2008,3,203333
2008,4,207365
2008,5,194159
2008,6,214097
2008,7,194855
2008,8,207109
2008,9,189985
2008,10,157424
2008,11,146756
2008,12,172139
2009,1,174709
2009,2,157781
2009,3,220540
2009,4,178039
2009,5,185805
2009,6,169867
2009,7,165869
2009,8,172474
2009,9,172836
2009,10,123317
2009,11,105002
2009,12,109583
2010,1,158580
2010,2,140043
2010,3,172846
2010,4,165379
2010,5,163635
2010,6,169795
2010,7,182944
2010,8,186333
2010,9,174652
2010,10,209245
2010,11,165917
2010,12,164493
2011,1,177460
2011,2,173384
2011,3,157457
2011,4,129092
2011,5,128577
2011,6,140609
2011,7,159890
2011,8,169143
2011,9,151442
2011,10,160207
2011,11,139227
2011,12,140357
2012,1,146991
2012,2,137342
2012,3,162479
2012,4,176994
2012,5,242548
2012,6,143252
2012,7,139101
2012,8,156380
2012,9,161496
2012,10,152170
2012,11,124102
2012,12,127888
2013,1,126503
2013,2,117732
2013,3,131242
2013,4,116401
2013,5,118600
2013,6,124480
2013,7,167014
2013,8,130347
2013,9,112104
2013,10,101509
2013,11,123281
2013,12,243352
2014,1,108841
2014,2,128180
2014,3,149526
2014,4,147122
2014,5,182153
2014,6,162482
2014,7,137634
2014,8,172431
2014,9,140470
2014,10,149906
2014,11,116762
2014,12,106599
2015,1,154691
2015,2,115432
2015,3,113842
2015,4,120407
2015,5,150057
2015,6,129740
2015,7,101548
2015,8,138574
2015,9,111611
2015,10,155207
2015,11,188115
2015,12,140288
2016,1,219939
2016,2,150584
2016,3,142853
2016,4,122210
2016,5,116194
2016,6,114159
2016,7,141123
2016,8,127155
2016,9,86866
2016,10,196165
2016,11,208362
2016,12,297902
2017,1,186942
2017,2,111623
2017,3,127550
2017,4,171779
2017,5,201231
2017,6,164553
2017,7,189582
2017,8,218338
2017,9,203487
2017,10,157107
2017,11,154746
2017,12,231266
2018,1,242698
2018,2,146187
2018,3,169010
2018,4,120849
2018,5,92495
2018,6,105358
2018,7,122398
2018,8,152798
2018,9,127016
2018,10,128974
2018,11,118133
2018,12,177490
2019,1,105558
2019,2,71926
2019,3,86924
2019,4,91431
2019,5,106044
2019,6,75560
2019,7,101182
2019,8,114341
2019,9,117154
2019,10,126093
2019,11,102509
2019,12,102895
2020,1,76421
2020,2,32295
2020,3,77300
2020,4,4948
